物料编码,物料名称,物料描述,物料类别,物料子类,计量单位,参考价格,库存数量,供应商,规格型号,状态
MAT-0302-3789,O型圈 内径187mm×线径2.0mm 聚四氟乙烯,O型圈 内径187mm×线径2.0mm 聚四氟乙烯，国产，标准件,密封件,O型圈,块,20385.89,277,供应商D,内径187mm×线径2.0mm 聚四氟乙烯,停用
MAT-0104-6884,蝶阀 DN250 PN10 WC6,蝶阀 DN250 PN10 WC6，进口，非标定制,阀门,蝶阀,PCS,47137.66,152,供应商D,DN250 PN10 WC6,停用
MAT-0404-3596,销钉 M16x50 12.9级,销钉 M16x50 12.9级，国产，非标定制,紧固件,销钉,只,33446.99,408,供应商D,M16x50 12.9级,启用
MAT-0802-8752,温度计 0-1.6MPa,温度计 0-1.6MPa，进口，标准件,仪表,温度计,套,32141.05,69,供应商D,0-1.6MPa,启用
MAT-0105-6212,止回阀 DN32 Class300 CF8M,止回阀 DN32 Class300 CF8M，进口，非标定制,阀门,止回阀,片,13920.05,487,供应商D,DN32 Class300 CF8M,启用
MAT-0204-0318,INA 角接触球轴承 ＊10x31x10mm,INA 角接触球轴承 10x31x10mm，国产，标准件,轴承,角接触球轴承,个,47481.09,102,供应商A,角接触球轴承 10x31x10mm,启用
MAT-0402-7759,螺母 M8x80 8.8级,螺母 M8x80 8.8级，进口，非标定制,紧固件,螺母,只,8397.78,310,供应商A,M8x80 8.8级,启用
MAT-0501-9482,螺栓 M8x100 8.8级,螺栓 M8x100 8.8级，进口，非标定制,紧固件,螺栓,组,35273.53,212,供应商D,M8x100 8.8级,停用
MAT-0505-1984,计量泵 5m³/h 80m,计量泵 5m³/h 80m，进口，非标定制,泵类,计量泵,套,25302.98,174,供应商A,5m³/h 80m,停用
MAT-DUP-4314,压力表 0-4MPa,压力表 0-4MPa，进口，标准件,仪表,压力表,片,8815.09,267,供应商C,0-4MPa,停用
MAT-0804-9708,液位计 0-4MPa,液位计 0-4MPa，进口，标准件,仪表,液位计,套,13953.62,230,供应商B,0-4MPa,停用
MAT-0703-0471,法兰 DN80 316L HG/T,法兰 DN80 316L HG/T，进口，标准件,管件,法兰,只,39893.64,174,供应商C,DN80 316L HG/T,启用
MAT-0104-1403,蝶阀 DN200 Class150 CF8,蝶阀 DN200 Class150 CF8，进口，标准件,阀门,蝶阀,根,32298.69,251,供应商D,DN200 Class150 CF8,启用
MAT-0203-3631,FAG 推力球轴承 60x75x11mm,FAG 推力球轴承 60x75x11mm，进口，非标定制,轴承,推力球轴承,组,26550.79,217,,推力球轴承 60x75x11mm,启用
MAT-DUP-6005,步进电机 5.5kW 660V,步进电机 5.5kW 660V，国产，标准件,电机,步进电机,米,15784.24,380,,5.5kW 660V,启用
MAT-0704-1769,螺母 M16x80 10.9级,螺母 M16x80 10.9级，国产，标准件,紧固件,螺母,kg,11381.88,91,供应商C,M16x80 10.9级,启用
MAT-0303-0746,油封 DN200 氟橡胶,油封 DN200 氟橡胶，进口，标准件,密封件,油封,根,5138.36,6,,DN200 氟橡胶,启用
MAT-0804-7217,液位○计 0-4MPa,液位计 0-4MPa，国产，标准件,仪表,液位计,kg,47053.77,244,供应商A,0-4MPa,启用
MAT-0704-1214,异径管 DN125 20# HG/T,异径管 DN125 20# HG/T，国产，非标定制,管件,异径管,套,49695.97,60,,DN125 20# HG/T,停用
MAT-0405-6233,挡圈 M30x60 10.9级,挡圈 M30x60 10.9级，进口，非标定制,紧固件,挡圈,个,30485.45,378,供应商A,M30x60 10.9级,启用
MAT-0403-1331,垫圈 M10x35 ■8.8级,垫圈 M10x35 8.8级，国产，标准件,紧固件,垫圈,个,20431.79,352,,M10x35 8.8级,停用
MAT-0501-3793,离心Pump 25m³/h 65m,离心泵 25m³/h 65m，进口，标准件,泵类,离心泵,米,46196.31,403,,25m³/h 65m,启用
MAT-0701-8923,弯头 DN32 304 ASME B16.9,,管件,弯头,个,8304.48,157,,DN32 304 ASME B16.9,启用
MAT-0801-7680,压力表 0-100°C,压力表 0-100°C，进口，非标定制,仪表,压力表,kg,25028.6,252,供应商D,0-100°C,启用
MAT-0107-5281,调节阀 DN40 PN10 WC9,调节阀 DN40 PN10 WC9，国产，标准件,阀门,调节阀,个,49978.63,344,供应商C,DN40 PN10 WC9,启用
MAT-0304-8503,垫片 DN100 聚四氟乙烯,垫片 DN100 聚四氟乙烯，国产，非标定制,密封件,垫片,根,48453.07,240,供应商C,DN100 聚四氟乙烯,停用
MAT-0603-1714,伺服电机 2.2kW 660V,伺服电机 2.2kW 660V，进口，非标定制,电机,伺服电机,kg,33132.55,205,,2.2kW 660V,启用
MAT-0801-5154,压力表 0－4MPa,压力表 0-4MPa，进口，标准件,仪表,压力表,片,43246.88,422,供应商A,0-4MPa,停用
MAT-0701-3074,弯头 D  N100 316L DIN,  弯头 DN100 316L DIN，进口，标准件  ,管件,弯头,米,13360.14,67,供应商C,DN100 316L DIN,停用
MAT-0801-0473,弯头 DN32 304 ASME B16.9,,管件,弯头,个,8304.48,157,,DN32 304 ASME B16.9,启用
MAT-0401-7561,螺栓 M8x100 8.8级,螺栓 M8x100 8.8级，进口，非标定制,紧固件,螺栓,组,35273.53,212,供应商D,M8x100 8.8级,停用
MAT-0404-9032,销钉 M10x50 8.8级,销钉 M10x50 8.8级，国产，标准件,紧固件,销钉,kg,38636.03,437,供应商D,M10x50 8.8级,启用
MAT-0301-7238,离心泵 25m³/h 125m,离心泵 25m³/h 125m，国产，非标定制,泵类,离心泵,组,24222.23,170,,25m³/h 125m,停用
MAT-0803-3091,流量计 0-100°C,流量计 0-100°C，国产，非标定制,仪表,流量计,米,42802.09,210,供应商A,0-100°C,启用
MAT-0804-6326,液位计 0-100°C,液位计 0-100°C，国产，非标定制,仪表,液位计,pc,6321.05,494,,0-100°C,启用
MAT-0204-1634,INA 角接触球轴承 35x42x9mm,INA 角接触球轴承 35x42x9mm，进口，标准件,轴承,角接触球轴承,套,23479.84,496,供应商C,角接触球轴承 35x42x9mm,启用
MAT-0706-1316,伺服电机 11kW 1140V,伺服电机 11kW 1140V，进口，非标定制,电机,伺服电机,个,37667.01,97,供应商C,11kW 1140V,启用
MAT-0406-1481,铆钉▲ M24x25 4.8级,铆钉 M24x25 4.8级，进口，标准件,紧固件,铆钉,kg,45172.17,23,供应商C,M24x25 4.8级,启用
MAT-0503-6142,螺杆■泵 50m³/h 40m,螺杆泵 50m³/h 40m，国产，非标定制,泵类,螺杆泵,件,8507.48,40,,50m³/h 40m,停用
MAT-0404-9555,销钉 M1  0x35 12.9级,  销钉 M10x35 12.9级，进口，非标定制  ,紧固件,销钉,kg,33345.37,460,供应商D,M10x35 12.9级,启用
MAT-0301-7238,机械密封 DN200 硅橡胶,无,密封件,机械密封,kg,22847.22,154,供应商B,DN200 硅橡胶,停用
MAT-0801-3887,压力表 0-10MPa,压力表 0-10MPa，进口，非标定制,仪表,压力表,kg,1106.76,424,供应商D,0-10MPa,启用
MAT-0101-9936,闸阀 DN300 PN63 WC6,闸阀 DN300 PN63 WC6，国产，非标定制,阀门,闸阀,米,31834.53,317,供应商C,DN300 PN63 WC6,启用
MAT-0201-5062,FAG 深沟球轴承 10x31x9mm,FAG 深沟球轴承 10x31x9mm，国产，非标定制,轴承,深沟球轴承,只,37376.57,89,供应商B,深沟球轴承 10x31x9mm,启用
MAT-0605-8222,防爆电机 5.5kW 380V,防爆电机 5.5kW 380V，进口，非标定制,电机,防爆电机,kg,37330.5,173,供应商A,5.5kW 380V,停用
MAT-0202-3697,FAG 圆锥滚子轴承 80x111x12mm,FAG 圆锥滚子轴承 80x111x12mm，国产，非标定制,轴承,圆锥滚子轴承,个,13230.28,63,供应商D,圆锥滚子轴承 80x111x12mm,启用
MAT-0505-6243,计量泵 30m³/h 30m,计量泵 30m³/h 30m，国产，非标定制,泵类,计量泵,个,30981.15,482,,30m³/h 30m,启用
MAT-0406-1036,铆钉 M30x40 12.9级,铆钉 M30x40 12.9级，国产，标准件,紧固件,铆钉,个,47313.61,155,供应商D,M30x40 12.9级,启用
MAT-0202-8808,NSK   圆锥滚子轴承 30x58x12mm,  NSK 圆锥滚子轴承 30x58x12mm，进口，标准件  ,轴承,圆锥滚子轴承,片,32749.55,426,供应商D,圆锥滚子轴承 30x58x12mm,停用
MAT-0501-6071,离心泵 20m³/h 125m,离心泵 20m³/h 125m，进口，标准件,泵类,离心泵,只,询价,351,供应商C,20m³/h 125m,启用
MAT-0107-4521,调节阀 DN2■0 Class300 CF8,调节阀 DN20 Class300 CF8，国产，标准件,阀门,调节阀,个,2538.42,170,供应商B,DN20 Class300 CF8,启用
MAT-0401-9081,螺栓 M12x80 8.8级,螺栓 M12x80 8.8级，国产，非标定制,轴承,调心滚子轴承,件,39434.3,305,供应商A,M12x80 8.8级,启用
MAT-0302-8851,O型圈 内径54mm×线径1.5mm 硅橡胶,O型圈 内径54mm×线径1.5mm 硅橡胶，国产，标准件,密封件,O型圈,个,17918.53,403,供应商B,内径54mm×线径1.5mm 硅橡胶,启用
MAT-0103-4348,球阀 DN25 Class150 WCB,球阀 DN25 Class150 WCB，国产，标准件,阀门,球阀,,22419.28,185,,DN25 Class150 WCB,启用
MAT-0805-3630,变送器 -40~120°C,变送器 -40~120°C，国产，非标定制,仪表,变送器,根,32170.6,15,供应商A,-40~120°C,停用
MAT-0704-1769,异径管 DN80 A105 GB/T,异径管 DN80 A105 GB/T，国产，非标定制,管件,异径管,,3293.45,140,,DN80 A105 GB/T,启用
MAT-0705-8693,管帽 DN40 A105 DIN,暂无,管件,管帽,组,36044.79,110,供应商D,DN40 A105 DIN,停用
MAT-0404-5554,销钉 M30x50 12.9级,销钉 M30x50 12.9级，国产，非标定制,紧固件,销钉,片,15633.05,130,供应商C,M30x50 12.9级,启用
MAT-0801-1495,压力◎表 0-1.6MPa,压力表 0-1.6MPa，国产，非标定制,仪表,压力表,套,37232.0,190,供应商B,0-1.6MPa,启用
MAT-0601-6731,三相异步电机 7.5kW 1140V,三相异步电机 7.5kW 1140V，进口，标准件,电机,三相异步电机,kg,30024.5,180,供应商A,7.5kW 1140V,启用
MAT-0306-7901,骨架油封 DN50 丁腈橡胶,骨架油封 DN50 丁腈橡胶，进口，非标定制,密封件,骨架油封,套,38132.66,293,供应商B,DN50 丁腈橡胶,停用
MAT-0603-7445,止回阀 DN40 PN63 CF8,止回阀 DN40 PN63 CF8，进口，非标定制,阀门,止回阀,个,9078.46,73,,DN40 PN63 CF8,停用
MAT-0202-0503,SKF 圆※锥滚子轴承 60x91x10mm,SKF 圆锥滚子轴承 60x91x10mm，进口，非标定制,轴承,圆锥滚子轴承,根,17051.39,189,供应商C,圆锥滚子轴承 60x91x10mm,启用
MAT-0201-2550,NSK 深沟球轴承 70x77x8mm,NSK 深沟球轴承 70x77x8mm，进口，非标定制,电机,步进电机,片,24288.23,226,供应商D,深沟球轴承 70x77x8mm,启用
MAT-0405-1865,挡圈 M20x50 4.8级,挡圈 M20x50 4.8级，进口，非标定制,紧固件,挡圈,组,33359.96,23,供应商B,,停用
MAT-0101-3350,闸阀 DN32 PN25 CF8M,闸阀 DN32 PN25 CF8M，进口，非标定制,阀门,闸阀,只,6008.02,254,供应商D,DN32 PN25 CF8M,启用
MAT-0304-8726,垫片 DN200 丁腈橡胶,垫片 DN200 丁腈橡胶，进口，标准件,密封件,垫片,片,0.0495,21,供应商D,DN200 丁腈橡胶,启用
MAT-0801-5130,压力表 -40~120°C,压力表 -40~120°C，进口，非标定制,仪表,压力表,片,14482.87,207,供应商A,-40~120°C,启用
MAT-0201-4507,填料密封 DN50 硅橡胶,填料密封 DN50 硅橡胶，进口，标准件,密封件,填料密封,米,21789.47,205,,DN50 硅橡胶,启用
MAT-0703-5563,法兰 DN32 316L HG/T,法兰 DN32 316L HG/T，国产，标准件,管件,法兰,组,0.0083,463,供应商C,DN32 316L HG/T,启用
MAT-0302-1685,O型圈 内径75mm×线径2.0mm 丁腈橡胶,N/A,密封件,O型圈,套,8865.53,395,供应商D,内径75mm×线径2.0mm 丁腈橡胶,停用
MAT-0805-5296,变送器 0-100°C,变送器 0-100°C，进口，标准件,仪表,变送器,根,3423.63,226,供应商C,0-100°C,启用
MAT-0106-8313,安全阀 DN40 Clas※s300 WCB,安全阀 DN40 Class300 WCB，进口，标准件,阀门,安全阀,个,18443.19,146,供应商A,DN40 Class300 WCB,启用
MAT-0704-9509,异径管 DN100 20# DIN,异径管 DN100 20# DIN，国产，非标定制,管件,异径管,根,25073.35,490,供应商A,DN100 20# DIN,停用
MAT-0203-1382,INA 推力球轴承 5０x63x７mm,INA 推力球轴承 50x63x7mm，国产，非标定制,轴承,推力球轴承,根,26208.19,312,供应商B,推力球轴承 50x63x7mm,启用
MAT-0603-6348,伺服电机 11kW 660V,伺服电机 11kW 660V，国产，非标定制,电机,伺服电机,套,16491.24,285,供应商D,11kW 660V,启用
MAT-0505-2464,计量泵 30m³/h 30m,计量泵 30m³/h 30m，国产，非标定制,泵类,计量泵,kg,48385.15,357,供应商D,30m³/h 30m,启用
MAT-0203-9158,FAG 推力球轴承 50x71x9mm,FAG 推力球轴承 50x71x9mm，国产，非标定制,轴承,推力球轴承,组,18097.79,185,供应商C,推力球轴承 50x71x9mm,启用
MAT-0403-7968,垫圈 M12x35 8.8级,垫圈 M12x35 8.8级，国产，标准件,紧固件,垫圈,kg,42222.98,51,,M12x35 8.8级,启用
MAT-0605-2148,防爆电机 11kW 380V,防爆电机 11kW 380V，国产，标准件,电机,防爆电机,件,—,22,供应商D,11kW 380V,启用
MAT-0404-4669,销钉 M30x35 8.8级,销钉 M30x35 8.8级，进口，非标定制,紧固件,销钉,米,18398.37,484,,M30x35 8.8级,停用
MAT-0803-6257,流量计 -40~120°C,流量计 -40~120°C，进口，标准件,仪表,流量计,米,40064.95,70,供应商C,-40~120°C,启用
MAT-0803-9086,流量计 0-1.6MPa,流量计 0-1.6MPa，国产，非标定制,仪表,流量计,套,38158.21,139,供应商D,0-1.6MPa,启用
MAT-0701-3638,弯头 DN300 A105 ASME B16.9,弯头 DN300 A105 ASME B16.9，国产，非标定制,管件,弯头,个,19828.73,191,供应商B,DN300 A105 ASME B16.9,停用
MAT-0201-2550,SKF 推力球轴承 25x35x12mm,SKF 推力球轴承 25x35x12mm，国产，标准件,轴承,推力球轴承,个,14351.1,424,供应商D,推力球轴承 25x35x12mm,启用
MAT-0804-0087,液位计 0-1.6MPa,液位计 0-1.6MPa，国产，非标定制,仪表,液位计,米,0.092,280,,0-1.6MPa,停用
MAT-0203-3894,NTN 推力球轴承 12x19x10mm,无,轴承,推力球轴承,套,5551.79,463,供应商D,推力球轴承 12x19x10mm,启用
MAT-0406-2353,铆钉 M16x50 4.8级,铆钉 M16x50 4.8级，进口，标准件,紧固件,铆钉,片,9373.82,342,供应商A,M16x50 4.8级,启用
MAT-0205-8915,INA 调心滚子轴承 70x101x18mm,INA 调心滚子轴承 70x101x18mm，国产，非标定制,轴承,调心滚子轴承,根,2186.29,198,供应商C,调心滚子轴承 70x101x18mm,启用
MAT-0106-1107,安全阀 DN32 PN16 CF8M,无,阀门,安全阀,个,17621.43,173,供应商B,DN32 PN16 CF8M,停用
MAT-0802-2210,销钉 M30x50 12.9级,销钉 M30x50 12.9级，国产，非标定制,紧固件,销钉,片,15633.05,130,供应商C,M30x50 12.9级,启用
MAT-0603-8445,伺服电机 11kW 1140V,伺服电机 11kW 1140V，进口，非标定制,电机,伺服电机,件,37667.01,97,供应商C,11kW 1140V,启用
MAT-0106-4477,安全阀 DN250 PN100 WCB,安全阀 DN250 PN100 WCB，进口，非标定制,阀门,安全阀,根,44732.93,197,供应商C,DN250 PN100 WCB,启用
MAT-0804-6019,液位计 -40~120°C,液位计 -40~120°C，进口，标准件,仪表,液位计,片,3955.56,308,供应商B,-40~120°C,启用
MAT-0403-7067,三相异步电机 7.5kW 1140V,三相异步电机 7.5kW 1140V，进口，非标定制,电机,三相异步电机,根,30135.06,218,供应商B,7.5kW 1140V,停用
MAT-0604-0694,步进电机☆ 7.5kW 1140V,步进电机 7.5kW 1140V，进口，非标定制,电机,步进电机,个,3761.31,326,供应商D,7.5kW 1140V,启用
MAT-0301-2340,机械密封 DN150 石墨,机械密封 DN150 石墨，国产，标准件,密封件,机械密封,套,11807.41,330,供应商C,DN150 石墨,启用
MAT-0705-0531,管帽 DN125 304 DIN,管帽 DN125 304 DIN，进口，非标定制,管件,管帽,根,38156.59,293,供应商B,DN125 304 DIN,启用
MAT-0703-4567,法兰 DN32 20# GB/T,法兰 DN32 20# GB/T，国产，非标定制,管件,法兰,组,19355.5,287,供应商A,DN32 20# GB/T,启用
MAT-0504-3516,隔膜泵 25m³/h 125m,N/A,泵类,隔膜泵,件,42642.79,231,供应商B,25m³/h 125m,停用
MAT-0203-5693,SKF 推力球轴城 40x71x11mm,SKF 推力球轴承 40x71x11mm，进口，标准件,轴承,推力球轴承,件,39686.88,260,供应商B,推力球轴承 40x71x11mm,启用
MAT-0402-3879,螺母 M30x20 10.9级,螺母 M30x20 10.9级，进口，非标定制,紧固件,螺母,,6497.26,452,供应商A,M30x20 10.9级,启用
MAT-0504-7843,隔膜泵 100m³/h 100m,隔膜泵 100m³/h 100m，进口，标准件,泵类,隔膜泵,件,48619.26,328,供应商A,100m³/h 100m,停用
MAT-0805-5645,变送器 0-2.5MPa,变送器 0-2.5MPa，国产，标准件,仪表,变送器,片,25148.16,444,供应商A,0-2.5MPa,启用
MAT-0303-2698,油封 DN100 丁腈橡胶,油封 DN100 丁腈橡胶，国产，非标定制,密封件,油封,组,44747.35,433,供应商A,DN100 丁腈橡胶,启用
MAT-0406-9025,铆钉 M16x30 10.9级,铆钉 M16x30 10.9级，国产，标准件,紧固件,铆钉,件,8568.32,319,,M16x30 10.9级,启用
MAT-0101-1331,闸阀 DN150 PN63 WCB,闸阀 DN150 PN63 WCB，国产，非标定制,阀门,闸阀,个,24906.92,321,,DN150 PN63 WCB,启用
MAT-0504-4013,隔膜泵 50m³/h 65m,隔膜泵 50m³/h 65m，进口，标准件,泵类,隔膜泵,个,7912.44,212,供应商D,50m³/h 65m,停用
MAT-0403-9940,垫圈 M10x45 10.9级,垫圈 M10x45 10.9级，进口，非标定制,电机,步进电机,件,38035.64,263,,M10x45 10.9级,启用
MAT-0602-7643,直流电机 1.5kW 660V,直流电机 1.5kW 660V，进口，标准件,电机,直流电机,件,4849.61,148,供应商D,1.5kW 660V,停用
MAT-DUP-3588,螺母 M20x35 8.8级,螺母 M20x35 8.8级，进口，非标定制,紧固件,螺母,根,43954.99,254,供应商A,M20x35 8.8级,启用
MAT-0705-7492,管帽 DN32 304 ASME B16.9,管帽 DN32 304 ASME B16.9，国产，标准件,管件,管帽,kg,24749.76,451,供应商D,DN32 304 ASME B16.9,启用
MAT-0102-7061,压力表 -40~120°C,压力表 -40~120°C，进口，非标定制,仪表,压力表,片,14482.87,207,供应商A,-40~120°C,启用
MAT-0605-4729,防爆电机 1.5kW 660V,防爆电机 1.5kW 660V，进口，非标定制,电机,防爆电机,套,6441.88,49,供应商D,1.5kW 660V,启用
MAT-0605-5991,防爆电机 2.2kW 380V,防爆电机 2.2kW 380V，进口，标准件,电机,防爆电机,个,1955.31,365,供应商C,2.2kW 380V,停用
MAT-0802-9933,温度计 -40~120°C,温度计 -40~120°C，国产，非标定制,仪表,温度计,只,8133.48,315,供应商C,-40~120°C,启用
MAT-0805-4912,变送器 0-10MPa,变送器 0-10MPa，国产，非标定制,仪表,变送器,只,33693.58,213,,0-10MPa,启用
MAT-0104-3464,电磁阀 DN125 PN40 WC9,电磁阀 DN125 PN40 WC9，国产，非标定制,阀门,电磁阀,件,26216.37,369,,DN125 PN40 WC9,停用
MAT-0306-3969,骨架油封 DN200 氟橡胶,骨架油封 DN200 氟橡胶，国产，标准件,密封件,骨架油封,个,22057.52,214,供应商B,DN200 氟橡胶,停用
MAT-0404-8222,销钉 M30x20 8.8级,销钉 M30x20 8.8级，国产，非标定制,紧固件,销钉,根,26278.6,160,供应商B,M30x20 8.8级,停用
MAT-0406-0725,防爆电机 5.5kW 1140V,防爆电机 5.5kW 1140V，进口，标准件,电机,防爆电机,米,13957.53,152,供应商B,5.5kW 1140V,启用
MAT-0502-8012,齿轮泵 30m³/h 125m,,泵类,齿轮泵,kg,6102.49,346,,30m³/h 125m,停用
MAT-0703-2400,Flange DN40 20# ASME B16.9,法兰 DN40 20# ASME B16.9，国产，非标定制,管件,法兰,根,32802.04,382,供应商D,DN40 20# ASME B16.9,启用
MAT-0405-4443,挡圈 M36x40 8.8级,挡圈 M36x40 8.8级，国产，标准件,紧固件,挡圈,米,2547.76,463,,M36x40 8.8级,启用
