物料编码,系统来源,物料名称,物料描述,物料分类,计量单位,创建时间
MAT-EAM-0003,EAM,机封,双端面波纹管机封 304SS 用于减底渣油泵 API Plan53,机泵备件,EA,2024-03-11
MAT-EAM-0004,EAM,Bearing,Bearing SKF 6312 C3,机泵备件,EA,2024-01-06
MAT-EAM-0005,EAM,Bearing,FAG 6312 2RS1 带密封盖,机泵备件,EA,2024-02-15
MAT-EAM-0006,EAM,轴承箱,轴承箱总成 含6312轴承及配套密封件,机泵备件,ST,2024-03-23
MAT-EAM-0007,EAM,闸阀,楔式闸阀 Z41H 150LB 6寸 RF 铸钢,管线阀门,EA,2024-01-21
MAT-EAM-0008,EAM,闸阀,不锈钢闸阀 Z41W 150LB 4寸 304SS,管线阀门,EA,2024-03-01
MAT-EAM-0009,EAM,闸阀,电动闸阀 8寸 150LB 防爆电装 220V,管线阀门,EA,2024-04-02
MAT-EAM-0010,EAM,O-Ring,O-Ring FKM ID180mm CS5.3mm 耐油,密封件,EA,2024-01-13
MAT-EAM-0011,EAM,O-Ring,O-Ring NBR ID200mm CS7mm,密封件,EA,2024-02-19
MAT-EAM-0012,EAM,O-Ring,O型圈 FKM 190*5.7 耐高温200℃,密封件,EA,2024-03-26
MAT-EAM-0013,EAM,压力变送器,Rosemount 3051GP 0-16bar 4-20mA,仪表,EA,2024-01-09
MAT-EAM-0014,EAM,压力变送器,Yokogawa EJA530A 0-2.5MPa 带数字显示,仪表,EA,2024-02-23
MAT-EAM-0015,EAM,压力变送器,Honeywell STG94L 0-40bar 智能型,仪表,EA,2024-04-06
MAT-EAM-0016,EAM,法兰,对焊法兰 WN 3寸 150LB RF 304L,管件,EA,2024-01-19
MAT-EAM-0017,EAM,法兰,平焊法兰 6寸 150LB RF Q235B,管件,EA,2024-02-26
MAT-EAM-0018,EAM,法兰,盲法兰 4寸 150LB RF 304SS,管件,EA,2024-03-16
MAT-EAM-0019,EAM,防爆电机,Ex Motor YB3-132M-4 7.5KW ExdⅡBT4,电机,EA,2024-01-23
MAT-EAM-0020,EAM,防爆电机,Ex Motor YB3-160L-6 11KW ExdⅡCT4 立式安装,电机,EA,2024-02-11
MAT-EAM-0021,EAM,滤芯,液压油滤芯 HP3202A10AN 10微米,过滤器,EA,2024-01-29
MAT-EAM-0022,EAM,滤芯,空气滤芯 PAF-1-0.02 带壳体,过滤器,EA,2024-03-09
MAT-EAM-0023,EAM,润滑油,Shell Tellus S2 VX 46 209L Drum,润滑油,EA,2024-02-02
MAT-EAM-0024,EAM,润滑油,Mobil Delvac 15W-40 18L Pail,润滑油,EA,2024-03-19
MAT-EAM-0025,EAM,螺栓,Stud Bolt M20x110 35CrMoA w/2 nuts,紧固件,EA,2024-01-11
MAT-EAM-0026,EAM,螺栓,Hex Bolt M16x70 Grade 8.8 Zinc Plated,紧固件,EA,2024-02-06
MAT-EAM-0027,EAM,螺栓,全螺纹螺柱 M24x150 35CrMoA,紧固件,EA,2024-03-13
MAT-PUR-0001,采购平台,端面密封,端面密封 CM04B-060 不锈钢 离心泵配件,泵配件,个,2024-01-17
MAT-PUR-0002,采购平台,机封,机封 CM04B-050 热水泵用 碳化硅,泵配件,个,2024-02-22
MAT-PUR-0003,采购平台,波纹管机封,双端面波纹管机封 304不锈钢 渣油泵,泵配件,个,2024-03-12
MAT-PUR-0004,采购平台,轴承,深沟球轴承 6312 SKF 进口,轴承,个,2024-01-07
MAT-PUR-0005,采购平台,轴承,6312轴承 带橡胶密封圈 FAG,轴承,个,2024-02-16
MAT-PUR-0006,采购平台,轴承座,轴承箱 含轴承6312 整套,轴承,套,2024-03-24
MAT-PUR-0007,采购平台,闸伐,闸伐 Z41H-16C DN150 法兰式,阀门,台,2024-01-22
MAT-PUR-0008,采购平台,不锈钢闸阀,304不锈钢闸阀 DN100 法兰 手动,阀门,台,2024-03-02
MAT-PUR-0009,采购平台,电动闸阀,防爆电动闸阀 DN200 带电机,阀门,台,2024-04-03
MAT-PUR-0010,采购平台,氟胶O型圈,O型圈 氟胶 180*5.3 耐油耐高温,密封圈,个,2024-01-14
MAT-PUR-0011,采购平台,丁腈O型圈,O型圈 丁腈 200*7 黑色,密封圈,个,2024-02-20
MAT-PUR-0012,采购平台,O型密封圈,O型密封圈 190*5.7 氟胶 高温用,密封圈,个,2024-03-27
MAT-PUR-0013,采购平台,压力变送器,罗斯蒙特压力变送器 3051 0-1.6MPA,仪表,台,2024-01-10
MAT-PUR-0014,采购平台,横河压力变送器,横河 EJA530 0-2.5MPa 带表头,仪表,台,2024-02-24
MAT-PUR-0015,采购平台,霍尼韦尔变送器,霍尼韦尔压力变送器 0-4.0MPa 智能型,仪表,台,2024-04-07
MAT-PUR-0016,采购平台,对焊法兰,对焊法兰 80mm 16公斤 304L,管件,片,2024-01-20
MAT-PUR-0017,采购平台,平焊法兰,平焊法兰 150mm 10公斤 Q235,管件,片,2024-02-27
MAT-PUR-0018,采购平台,盲法兰,盲板法兰 100mm 16公斤 304,管件,片,2024-03-17
MAT-PUR-0019,采购平台,防爆电机,7.5KW防爆电机 YB3-132M-4 防爆等级BT4,电机,台,2024-01-24
MAT-PUR-0020,采购平台,防爆电机,11KW防爆电机 立式 YB3-160L-6 CT4,电机,台,2024-02-12
MAT-PUR-0021,采购平台,液压滤芯,液压油滤芯 HP3202A10AN 派克,滤材,个,2024-01-30
MAT-PUR-0022,采购平台,空气滤清器滤芯,空气滤清器 PAF-1-0.02 国产,滤材,个,2024-03-10
MAT-PUR-0023,采购平台,液压油,壳牌液压油 S2 VX46 209升,润滑油,桶,2024-02-03
MAT-PUR-0024,采购平台,柴油机油,美孚黑霸王 15W-40 18升 柴油机用,润滑油,桶,2024-03-20
MAT-PUR-0025,采购平台,双头螺栓,双头螺栓 M20*110 带螺母垫片 35CrMoA,紧固件,套,2024-01-12
MAT-PUR-0026,采购平台,六角螺栓,外六角 M16*70 8.8级 镀锌,紧固件,个,2024-02-07
MAT-PUR-0027,采购平台,螺柱,全螺纹螺柱 M24*150 35CrMoA 带螺母,紧固件,套,2024-03-14
MAT-SAP-0028,SAP,机械密封,机械密封 波纹管型 CM04B-040 钛合金 耐腐蚀,密封件,套,2024-04-10
MAT-SAP-0029,SAP,机械密封,机械密封 CM04B-070 316L 高温型 350℃,密封件,套,2024-04-25
MAT-SAP-0030,SAP,轴承,滚动轴承 SKF 6314 C3 深沟球 70x150x35,轴承,个,2024-04-12
MAT-SAP-0031,SAP,轴承,滚动轴承 FAG 6314-2RS1 密封型,轴承,个,2024-05-05
MAT-SAP-0032,SAP,闸阀,闸阀 Z41H-25 DN200 法兰 铸钢 硬密封,阀门,台,2024-04-15
MAT-SAP-0033,SAP,闸阀,闸阀 Z41Y-16I DN50 铬钼钢 高温高压,阀门,台,2024-05-10
MAT-SAP-0034,SAP,O型圈,O型密封圈 全氟醚 内径 150mm 线径 5.3mm,密封件,个,2024-04-18
MAT-SAP-0035,SAP,O型圈,O型密封圈 硅橡胶 内径 250mm 线径 6mm,密封件,个,2024-05-12
MAT-SAP-0036,SAP,压力变送器,压力变送器 罗斯蒙特 3051S 0-6.0MPa 带HART,仪表,台,2024-04-20
MAT-SAP-0037,SAP,压力变送器,压力变送器 横河 EJA430E 0-1.0MPa 隔膜型,仪表,台,2024-05-15
MAT-SAP-0038,SAP,法兰,法兰 WN 100-25 RF 316L 对焊,管件,片,2024-04-22
MAT-SAP-0039,SAP,法兰,法兰 PL 200-6 RF Q235B 平焊,管件,片,2024-05-18
MAT-SAP-0040,SAP,防爆电机,防爆电机 YB3-180L-4 22KW ExdⅡBT4,电机,台,2024-04-28
MAT-SAP-0041,SAP,防爆电机,防爆电机 YB3-200L-8 15KW ExdⅡCT4 卧式,电机,台,2024-05-20
MAT-SAP-0042,SAP,滤芯,滤芯 润滑油滤芯 LX-100 10微米,滤材,个,2024-05-01
MAT-SAP-0043,SAP,滤芯,滤芯 天然气滤芯 CNG-50 5微米,滤材,个,2024-05-25
MAT-SAP-0044,SAP,润滑油,润滑油 壳牌 佳度 S2 V220 2号 锂基脂 18kg,油品,桶,2024-05-03
MAT-SAP-0045,SAP,润滑油,润滑油 美孚 齿轮油 600XP 220 208L,油品,桶,2024-05-28
MAT-SAP-0046,SAP,螺栓,螺栓 双头螺栓 M27×160 35CrMoA 带螺母,紧固件,套,2024-05-08
MAT-SAP-0047,SAP,螺栓,螺栓 六角螺栓 M20×80 10.9级 发黑,紧固件,个,2024-06-01
MAT-EAM-0028,EAM,机封,波纹管机封 CM04B-040 钛材 耐盐酸,机泵备件,EA,2024-04-11
MAT-EAM-0029,EAM,机封,高温机封 CM04B-070 316L 耐温350℃,机泵备件,EA,2024-04-26
MAT-EAM-0030,EAM,Bearing,SKF 6314 C3 70x150x35,机泵备件,EA,2024-04-13
MAT-EAM-0031,EAM,Bearing,FAG 6314 2RS1 双密封,机泵备件,EA,2024-05-06
MAT-EAM-0032,EAM,闸阀,楔式闸阀 Z41H CLASS150 8寸 铸钢,管线阀门,EA,2024-04-16
MAT-EAM-0033,EAM,闸阀,铬钼钢闸阀 Z41Y 900LB 2寸,管线阀门,EA,2024-05-11
MAT-EAM-0034,EAM,O-Ring,FFKM O-Ring ID150mm CS5.3mm,密封件,EA,2024-04-19
MAT-EAM-0035,EAM,O-Ring,VMQ O-Ring ID250mm CS6mm,密封件,EA,2024-05-13
MAT-EAM-0036,EAM,压力变送器,Rosemount 3051S 0-6.0MPa HART,仪表,EA,2024-04-21
MAT-EAM-0037,EAM,压力变送器,Yokogawa EJA430E 0-1.0MPa 隔膜密封,仪表,EA,2024-05-16
MAT-EAM-0038,EAM,法兰,对焊法兰 4寸 CLASS150 RF 316L,管件,EA,2024-04-23
MAT-EAM-0039,EAM,法兰,平焊法兰 8寸 CLASS150 RF Q235B,管件,EA,2024-05-19
MAT-EAM-0040,EAM,防爆电机,Ex Motor YB3-180L-4 22KW ExdⅡBT4,电机,EA,2024-04-29
MAT-EAM-0041,EAM,防爆电机,Ex Motor YB3-200L-8 15KW ExdⅡCT4 卧式,电机,EA,2024-05-21
MAT-EAM-0042,EAM,滤芯,润滑油滤芯 LX-100 10微米,过滤器,EA,2024-05-02
MAT-EAM-0043,EAM,滤芯,天然气滤芯 CNG-50 5微米,过滤器,EA,2024-05-26
MAT-EAM-0044,EAM,润滑油,Shell Gadus S2 V220 2 18kg,润滑油,EA,2024-05-04
MAT-EAM-0045,EAM,润滑油,Mobilgear 600XP 220 208L,润滑油,EA,2024-05-29
MAT-EAM-0046,EAM,螺栓,Stud Bolt M27x160 35CrMoA,紧固件,EA,2024-05-09
MAT-EAM-0047,EAM,螺栓,Hex Bolt M20x80 Grade10.9 Black,紧固件,EA,2024-06-02
MAT-PUR-0028,采购平台,钛合金机封,波纹管机封 CM04B-040 钛合金 耐腐蚀,泵配件,个,2024-04-12
MAT-PUR-0029,采购平台,高温机封,CM04B-070 316L 耐350度高温,泵配件,个,2024-04-27
MAT-PUR-0030,采购平台,SKF轴承,SKF 6314 深沟球轴承 70*150*35,轴承,个,2024-04-14
MAT-PUR-0031,采购平台,FAG轴承,FAG 6314-2RS1 带密封圈,轴承,个,2024-05-07
MAT-PUR-0032,采购平台,铸钢闸阀,铸钢闸阀 DN200 25公斤 法兰,阀门,台,2024-04-17
MAT-PUR-0033,采购平台,高温闸阀,铬钼钢闸阀 DN50 PN16 高温型,阀门,台,2024-05-12
MAT-PUR-0034,采购平台,全氟醚O型圈,O型圈 全氟醚 150*5.3 耐酸碱,密封圈,个,2024-04-20
MAT-PUR-0035,采购平台,硅胶O型圈,O型圈 硅胶 250*6 耐高低温,密封圈,个,2024-05-14
MAT-PUR-0036,采购平台,罗斯蒙特3051S,罗斯蒙特变送器 3051S 6.0MPa HART,仪表,台,2024-04-22
MAT-PUR-0037,采购平台,横河隔膜变送器,横河 EJA430E 0-1MPa 隔膜式,仪表,台,2024-05-17
MAT-PUR-0038,采购平台,316L对焊法兰,对焊法兰 100mm 25公斤 316L,管件,片,2024-04-24
MAT-PUR-0039,采购平台,Q235平焊法兰,平焊法兰 200mm 6公斤 Q235B,管件,片,2024-05-20
MAT-PUR-0040,采购平台,22KW防爆电机,YB3-180L-4 22KW BT4防爆,电机,台,2024-04-30
MAT-PUR-0041,采购平台,15KW防爆电机,YB3-200L-8 15KW CT4 卧式,电机,台,2024-05-22
MAT-PUR-0042,采购平台,润滑油滤芯,LX-100 10微米 润滑油用,滤材,个,2024-05-03
MAT-PUR-0043,采购平台,天然气滤芯,CNG-50 5微米 天然气过滤,滤材,个,2024-05-27
MAT-PUR-0044,采购平台,壳牌润滑脂,壳牌佳度S2 V220 2号 18公斤,润滑油,桶,2024-05-05
MAT-PUR-0045,采购平台,美孚齿轮油,美孚600XP 220 208升 齿轮箱用,润滑油,桶,2024-05-30
MAT-PUR-0046,采购平台,双头螺栓M27,双头螺栓 M27*160 带螺母 35CrMoA,紧固件,套,2024-05-10
MAT-PUR-0047,采购平台,高强度螺栓,M20*80 10.9级 外六角 发黑处理,紧固件,个,2024-06-03
MAT-SAP-0048,SAP,机械密封,机械密封 集装式 离心泵用 CM04B-090 2205双相钢,密封件,套,2024-06-10
MAT-SAP-0049,SAP,轴承,滚动轴承 SKF 6316 C3 深沟球,轴承,个,2024-06-15
MAT-SAP-0050,SAP,闸阀,闸阀 Z41H-40 DN250 法兰 铸钢 硬密封,阀门,台,2024-06-20
MAT-SAP-0051,SAP,O型圈,O型密封圈 氟橡胶 内径 220mm 线径 6mm,密封件,个,2024-06-25
MAT-SAP-0052,SAP,压力变送器,压力变送器 E+H PMP55 0-10.0MPa 隔膜密封,仪表,台,2024-06-28
MAT-SAP-0053,SAP,法兰,法兰 WN 150-40 RF 316L 对焊,管件,片,2024-07-01
MAT-SAP-0054,SAP,防爆电机,防爆电机 YB3-225M-6 30KW ExdⅡBT4,电机,台,2024-07-05
MAT-SAP-0055,SAP,滤芯,滤芯 聚结滤芯 JCG-100 1微米,滤材,个,2024-07-08
MAT-SAP-0056,SAP,润滑油,润滑油 壳牌 万利得 S3 BL 10 轴承油 209L,油品,桶,2024-07-10
MAT-SAP-0057,SAP,螺栓,螺栓 双头螺栓 M30×180 35CrMoA 带螺母垫片,紧固件,套,2024-07-12
MAT-EAM-0048,EAM,机封,集装式机封 CM04B-090 2205双相钢,机泵备件,EA,2024-06-11
MAT-EAM-0049,EAM,Bearing,SKF 6316 C3 80x170x39,机泵备件,EA,2024-06-16
MAT-EAM-0050,EAM,闸阀,楔式闸阀 Z41H CLASS300 10寸 铸钢,管线阀门,EA,2024-06-21
MAT-EAM-0051,EAM,O-Ring,FKM O-Ring ID220mm CS6mm,密封件,EA,2024-06-26
MAT-EAM-0052,EAM,压力变送器,E+H PMP55 0-10.0MPa 隔膜密封,仪表,EA,2024-06-29
MAT-EAM-0053,EAM,法兰,对焊法兰 6寸 CLASS300 RF 316L,管件,EA,2024-07-02
MAT-EAM-0054,EAM,防爆电机,Ex Motor YB3-225M-6 30KW ExdⅡBT4,电机,EA,2024-07-06
MAT-EAM-0055,EAM,滤芯,聚结滤芯 JCG-100 1微米,过滤器,EA,2024-07-09
MAT-EAM-0056,EAM,润滑油,Shell Morlina S3 BL 10 209L,润滑油,EA,2024-07-11
MAT-EAM-0057,EAM,螺栓,Stud Bolt M30x180 35CrMoA w/2 nuts,紧固件,EA,2024-07-13
MAT-PUR-0048,采购平台,集装式机封,集装式机械密封 CM04B-090 2205双相钢,泵配件,个,2024-06-12
MAT-PUR-0049,采购平台,SKF6316,SKF 6316 深沟球轴承,轴承,个,2024-06-17
MAT-PUR-0050,采购平台,铸钢闸阀DN250,闸阀 DN250 40公斤 法兰铸钢,阀门,台,2024-06-22
MAT-PUR-0051,采购平台,氟胶O圈220*6,O型圈 氟胶 220*6 耐油,密封圈,个,2024-06-27
MAT-PUR-0052,采购平台,E+H变送器,E+H PMP55 0-10MPa 隔膜,仪表,台,2024-06-30
MAT-PUR-0053,采购平台,316L对焊法兰6寸,对焊法兰 150mm 40公斤 316L,管件,片,2024-07-03
MAT-PUR-0054,采购平台,30KW防爆电机,YB3-225M-6 30KW BT4,电机,台,2024-07-07
MAT-PUR-0055,采购平台,聚结滤芯,JCG-100 1微米 聚结,滤材,个,2024-07-10
MAT-PUR-0056,采购平台,壳牌轴承油,壳牌万利得 S3 BL 10 209升,润滑油,桶,2024-07-12
MAT-PUR-0057,采购平台,双头螺栓M30,双头螺栓 M30*180 35CrMoA,紧固件,套,2024-07-14
MAT-SAP-0058,SAP,机械密封,机械密封 CM04B-110 C276哈氏合金 耐强酸,密封件,套,2024-07-20
MAT-SAP-0059,SAP,轴承,滚动轴承 FAG 6318-C3 深沟球,轴承,个,2024-07-22
MAT-SAP-0060,SAP,闸阀,闸阀 Z41W-25P DN300 不锈钢 304 手动,阀门,台,2024-07-25
MAT-SAP-0061,SAP,压力变送器,压力变送器 西门子 SITRANS P320 0-25MPa,仪表,台,2024-07-28
MAT-SAP-0062,SAP,法兰,法兰 WN 200-25 RF 304L 对焊,管件,片,2024-08-01
MAT-SAP-0063,SAP,防爆电机,防爆电机 YB3-280S-4 75KW ExdⅡCT4,电机,台,2024-08-05
MAT-SAP-0064,SAP,滤芯,滤芯 水滤芯 SX-100 100微米,滤材,个,2024-08-08
MAT-SAP-0065,SAP,润滑油,润滑油 长城 4602 合成压缩机油 170kg,油品,桶,2024-08-10
MAT-SAP-0066,SAP,螺栓,螺栓 六角螺栓 M36×200 10.9级 达克罗,紧固件,个,2024-08-12
MAT-EAM-0058,EAM,机封,哈氏合金机封 CM04B-110 C276,机泵备件,EA,2024-07-21
MAT-EAM-0059,EAM,Bearing,FAG 6318 C3 90x190x43,机泵备件,EA,2024-07-23
MAT-EAM-0060,EAM,闸阀,不锈钢闸阀 12寸 CLASS150 RF 304,管线阀门,EA,2024-07-26
MAT-EAM-0061,EAM,压力变送器,Siemens SITRANS P320 0-250bar,仪表,EA,2024-07-29
MAT-EAM-0062,EAM,法兰,对焊法兰 8寸 CLASS150 RF 304L,管件,EA,2024-08-02
MAT-EAM-0063,EAM,防爆电机,Ex Motor YB3-280S-4 75KW ExdⅡCT4,电机,EA,2024-08-06
MAT-EAM-0064,EAM,滤芯,水滤芯 SX-100 100微米,过滤器,EA,2024-08-09
MAT-EAM-0065,EAM,润滑油,Great Wall 4602 合成压缩机油 170kg,润滑油,EA,2024-08-11
MAT-EAM-0066,EAM,螺栓,Hex Bolt M36x200 Grade10.9 达克罗,紧固件,EA,2024-08-13
MAT-PUR-0058,采购平台,哈氏合金机封,CM04B-110 C276 耐强酸 机械密封,泵配件,个,2024-07-22
MAT-PUR-0059,采购平台,FAG6318,FAG 6318 深沟球轴承,轴承,个,2024-07-24
MAT-PUR-0060,采购平台,不锈钢闸阀DN300,304不锈钢闸阀 DN300 25公斤,阀门,台,2024-07-27
MAT-PUR-0061,采购平台,西门子压力变送器,西门子P320 25MPa 压力变送器,仪表,台,2024-07-30
MAT-PUR-0062,采购平台,304L对焊法兰8寸,对焊法兰 200mm 25公斤 304L,管件,片,2024-08-03
MAT-PUR-0063,采购平台,75KW防爆电机,YB3-280S-4 75KW CT4,电机,台,2024-08-07
MAT-PUR-0064,采购平台,水滤芯SX-100,SX-100 水过滤滤芯 100微米,滤材,个,2024-08-10
MAT-PUR-0065,采购平台,长城合成油,长城4602 压缩机油 170公斤,润滑油,桶,2024-08-12
MAT-PUR-0066,采购平台,达克罗螺栓,M36*200 10.9级 达克罗处理,紧固件,个,2024-08-14
MAT-SAP-0067,SAP,机械密封,机械密封 弹簧式 CM04B-060 316L 标准型,密封件,套,2024-08-18
MAT-SAP-0068,SAP,机械密封,机械密封 CM04B-080 双端面 硬质合金 耐磨损,密封件,套,2024-08-25
MAT-SAP-0069,SAP,轴承,滚动轴承 SKF 6310-2RS1 密封型,轴承,个,2024-08-20
MAT-SAP-0070,SAP,轴承,滚动轴承 FAG 6310 C3 深沟球,轴承,个,2024-08-28
MAT-SAP-0071,SAP,闸阀,闸阀 Z41H-16C DN80 法兰连接,阀门,台,2024-09-01
MAT-SAP-0072,SAP,O型圈,O型密封圈 氟橡胶 内径 100mm 线径 3.55mm,密封件,个,2024-09-05
MAT-SAP-0073,SAP,压力变送器,压力变送器 罗斯蒙特 3051GP 0-0.6MPa,仪表,台,2024-09-08
MAT-SAP-0074,SAP,法兰,法兰 PL 80-16 RF 304 平焊,管件,片,2024-09-12
MAT-SAP-0075,SAP,防爆电机,防爆电机 YB3-100L-2 3KW ExdⅡBT4,电机,台,2024-09-15
MAT-SAP-0076,SAP,滤芯,滤芯 空气滤芯 AC-200 2微米,滤材,个,2024-09-18
MAT-SAP-0077,SAP,润滑油,润滑油 昆仑 L-HM46 抗磨液压油 170kg,油品,桶,2024-09-20
MAT-SAP-0078,SAP,螺栓,螺栓 双头螺栓 M16×95 35CrMoA,紧固件,套,2024-09-22
MAT-EAM-0067,EAM,机封,弹簧式机封 CM04B-060 316L,机泵备件,EA,2024-08-19
MAT-EAM-0068,EAM,机封,双端面机封 CM04B-080 硬质合金,机泵备件,EA,2024-08-26
MAT-EAM-0069,EAM,Bearing,SKF 6310 2RS1,机泵备件,EA,2024-08-21
MAT-EAM-0070,EAM,Bearing,FAG 6310 C3,机泵备件,EA,2024-08-29
MAT-EAM-0071,EAM,闸阀,闸阀 Z41H CLASS150 3寸,管线阀门,EA,2024-09-02
MAT-EAM-0072,EAM,O-Ring,FKM O-Ring ID100mm CS3.55mm,密封件,EA,2024-09-06
MAT-EAM-0073,EAM,压力变送器,Rosemount 3051GP 0-6bar,仪表,EA,2024-09-09
MAT-EAM-0074,EAM,法兰,平焊法兰 3寸 CLASS150 RF 304,管件,EA,2024-09-13
MAT-EAM-0075,EAM,防爆电机,Ex Motor YB3-100L-2 3KW ExdⅡBT4,电机,EA,2024-09-16
MAT-EAM-0076,EAM,滤芯,空气滤芯 AC-200 2微米,过滤器,EA,2024-09-19
MAT-EAM-0077,EAM,润滑油,Kunlun L-HM46 抗磨液压油 170kg,润滑油,EA,2024-09-21
MAT-EAM-0078,EAM,螺栓,Stud Bolt M16x95 35CrMoA,紧固件,EA,2024-09-23
MAT-PUR-0067,采购平台,弹簧机封,CM04B-060 316L 弹簧式机械密封,泵配件,个,2024-08-20
MAT-PUR-0068,采购平台,硬质合金机封,CM04B-080 双端面 硬质合金,泵配件,个,2024-08-27
MAT-PUR-0069,采购平台,SKF6310,SKF 6310 带密封圈 轴承,轴承,个,2024-08-22
MAT-PUR-0070,采购平台,FAG6310,FAG 6310 深沟球轴承,轴承,个,2024-08-30
MAT-PUR-0071,采购平台,铸钢闸阀DN80,闸阀 DN80 16公斤 铸钢法兰,阀门,台,2024-09-03
MAT-PUR-0072,采购平台,氟胶O圈100*3.55,O型圈 氟胶 100*3.55,密封圈,个,2024-09-07
MAT-PUR-0073,采购平台,罗斯蒙特0.6MPa,罗斯蒙特3051 0-0.6MPa,仪表,台,2024-09-10
MAT-PUR-0074,采购平台,304平焊法兰,平焊法兰 80mm 16公斤 304,管件,片,2024-09-14
MAT-PUR-0075,采购平台,3KW防爆电机,YB3-100L-2 3KW 防爆BT4,电机,台,2024-09-17
MAT-PUR-0076,采购平台,空气滤芯AC-200,AC-200 2微米 空气过滤,滤材,个,2024-09-20
MAT-PUR-0077,采购平台,昆仑液压油,昆仑L-HM46 抗磨液压油 170公斤,润滑油,桶,2024-09-22
MAT-PUR-0078,采购平台,双头螺栓M16,双头螺栓 M16*95 35CrMoA,紧固件,套,2024-09-24
